,0
index,0
Review ID,4156
review_date,4156
Reviewer ID,4156
Reviewer Name,4156
Comments,4366
Listing ID,0
Listing URL,0
Listing Name,205
Host ID,0
Host URL,0
Host Name,48
Host Since,48
Host Response Time,58767
Host Response Rate,58767
Is Superhost,48
neighbourhood,0
Neighborhood Group,0
City,33
Postal Code,7703
Country Code,0
Country,0
Latitude,0
Longitude,0
Is Exact Location,0
Property Type,0
Room Type,0
Accomodates,0
Bathrooms,943
Bedrooms,717
Beds,90
Square Feet,428286
Price,0
Guests Included,0
Min Nights,0
Reviews,0
First Review,4156
Last Review,4156
Overall Rating,4719
Accuracy Rating,4752
Cleanliness Rating,4750
Checkin Rating,4773
Communication Rating,4756
Location Rating,4775
Value Rating,4776
Instant Bookable,0
Business Travel Ready,0
